rating,date,variation,verified_reviews,feedback,lower_text,rem_numbers,no_punct,tokens,rem_stopwords,lemmatized
4,30-Jul-18,Sandstone Fabric ,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",Positive,"i liked the original echo. this is the same but shorter and with greater fabric/color choices. i miss the volume ring on top, now it's just the plus/minus buttons. not a big deal but the ring w as comforting. :) other than that, well i do like the use of a standard usb charger /port instead of the previous round pin. other than that, i guess it sounds the same, seems to work the same, still answers to alexa/echo/computer. so what's not to like? :)","i liked the original echo. this is the same but shorter and with greater fabric/color choices. i miss the volume ring on top, now it's just the plus/minus buttons. not a big deal but the ring w as comforting. :) other than that, well i do like the use of a standard usb charger /port instead of the previous round pin. other than that, i guess it sounds the same, seems to work the same, still answers to alexa/echo/computer. so what's not to like? :)",i liked the original echo this is the same but shorter and with greater fabriccolor choices i miss the volume ring on top now its just the plusminus buttons not a big deal but the ring w as comforting  other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexaechocomputer so whats not to like ,"['i', 'liked', 'the', 'original', 'echo', 'this', 'is', 'the', 'same', 'but', 'shorter', 'and', 'with', 'greater', 'fabriccolor', 'choices', 'i', 'miss', 'the', 'volume', 'ring', 'on', 'top', 'now', 'its', 'just', 'the', 'plusminus', 'buttons', 'not', 'a', 'big', 'deal', 'but', 'the', 'ring', 'w', 'as', 'comforting', 'other', 'than', 'that', 'well', 'i', 'do', 'like', 'the', 'use', 'of', 'a', 'standard', 'usb', 'charger', 'port', 'instead', 'of', 'the', 'previous', 'round', 'pin', 'other', 'than', 'that', 'i', 'guess', 'it', 'sounds', 'the', 'same', 'seems', 'to', 'work', 'the', 'same', 'still', 'answers', 'to', 'alexaechocomputer', 'so', 'whats', 'not', 'to', 'like']","['liked', 'original', 'echo', 'shorter', 'greater', 'fabriccolor', 'choices', 'miss', 'volume', 'ring', 'top', 'plusminus', 'buttons', 'big', 'deal', 'ring', 'w', 'comforting', 'well', 'like', 'use', 'standard', 'usb', 'charger', 'port', 'instead', 'previous', 'round', 'pin', 'guess', 'sounds', 'seems', 'work', 'still', 'answers', 'alexaechocomputer', 'whats', 'like']","['like', 'original', 'echo', 'shorter', 'great', 'fabriccolor', 'choice', 'miss', 'volume', 'ring', 'top', 'plusminus', 'button', 'big', 'deal', 'ring', 'w', 'comfort', 'well', 'like', 'use', 'standard', 'usb', 'charger', 'port', 'instead', 'previous', 'round', 'pin', 'guess', 'sound', 'seem', 'work', 'still', 'answer', 'alexaechocomputer', 'whats', 'like']"
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,Positive,love the echo and how good the music sounds playing off it. alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify. she is good with amazon music but is lacking in other major programs.,love the echo and how good the music sounds playing off it. alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify. she is good with amazon music but is lacking in other major programs.,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,"['love', 'the', 'echo', 'and', 'how', 'good', 'the', 'music', 'sounds', 'playing', 'off', 'it', 'alexa', 'understands', 'most', 'commands', 'but', 'it', 'is', 'difficult', 'at', 'times', 'for', 'her', 'to', 'find', 'specific', 'playlists', 'or', 'songs', 'on', 'spotify', 'she', 'is', 'good', 'with', 'amazon', 'music', 'but', 'is', 'lacking', 'in', 'other', 'major', 'programs']","['love', 'echo', 'good', 'music', 'sounds', 'playing', 'alexa', 'understands', 'commands', 'difficult', 'times', 'find', 'specific', 'playlists', 'songs', 'spotify', 'good', 'amazon', 'music', 'lacking', 'major', 'programs']","['love', 'echo', 'good', 'music', 'sound', 'play', 'alexa', 'understands', 'command', 'difficult', 'time', 'find', 'specific', 'playlist', 'song', 'spotify', 'good', 'amazon', 'music', 'lack', 'major', 'program']"
5,30-Jul-18,Charcoal Fabric ,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",Positive,"we love alexa! we use her to play music, play radio through itunes, play podcasts through anypod, and set reminders. we listen to our flash briefing of news and weather every morning. we rely on our custom lists. we like being able to voice control the volume. we're sure we'll continue to find new uses.sometimes it's a bit frustrating when alexa doesn't understand what we're saying.","we love alexa! we use her to play music, play radio through itunes, play podcasts through anypod, and set reminders. we listen to our flash briefing of news and weather every morning. we rely on our custom lists. we like being able to voice control the volume. we're sure we'll continue to find new uses.sometimes it's a bit frustrating when alexa doesn't understand what we're saying.",we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume were sure well continue to find new usessometimes its a bit frustrating when alexa doesnt understand what were saying,"['we', 'love', 'alexa', 'we', 'use', 'her', 'to', 'play', 'music', 'play', 'radio', 'through', 'itunes', 'play', 'podcasts', 'through', 'anypod', 'and', 'set', 'reminders', 'we', 'listen', 'to', 'our', 'flash', 'briefing', 'of', 'news', 'and', 'weather', 'every', 'morning', 'we', 'rely', 'on', 'our', 'custom', 'lists', 'we', 'like', 'being', 'able', 'to', 'voice', 'control', 'the', 'volume', 'were', 'sure', 'well', 'continue', 'to', 'find', 'new', 'usessometimes', 'its', 'a', 'bit', 'frustrating', 'when', 'alexa', 'doesnt', 'understand', 'what', 'were', 'saying']","['love', 'alexa', 'use', 'play', 'music', 'play', 'radio', 'itunes', 'play', 'podcasts', 'anypod', 'set', 'reminders', 'listen', 'flash', 'briefing', 'news', 'weather', 'every', 'morning', 'rely', 'custom', 'lists', 'like', 'able', 'voice', 'control', 'volume', 'sure', 'well', 'continue', 'find', 'new', 'usessometimes', 'bit', 'frustrating', 'alexa', 'doesnt', 'understand', 'saying']","['love', 'alexa', 'use', 'play', 'music', 'play', 'radio', 'itunes', 'play', 'podcasts', 'anypod', 'set', 'reminder', 'listen', 'flash', 'briefing', 'news', 'weather', 'every', 'morning', 'rely', 'custom', 'list', 'like', 'able', 'voice', 'control', 'volume', 'sure', 'well', 'continue', 'find', 'new', 'usessometimes', 'bit', 'frustrate', 'alexa', 'doesnt', 'understand', 'say']"
4,30-Jul-18,Heather Gray Fabric ,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",Positive,"have only had it set up for a few days. still adding smart home devices to it. the speaker is great for playing music. i like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.","have only had it set up for a few days. still adding smart home devices to it. the speaker is great for playing music. i like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and it’s not intrusive to look at,"['have', 'only', 'had', 'it', 'set', 'up', 'for', 'a', 'few', 'days', 'still', 'adding', 'smart', 'home', 'devices', 'to', 'it', 'the', 'speaker', 'is', 'great', 'for', 'playing', 'music', 'i', 'like', 'the', 'size', 'we', 'have', 'it', 'stationed', 'on', 'the', 'kitchen', 'counter', 'and', 'it', '’', 's', 'not', 'intrusive', 'to', 'look', 'at']","['set', 'days', 'still', 'adding', 'smart', 'home', 'devices', 'speaker', 'great', 'playing', 'music', 'like', 'size', 'stationed', 'kitchen', 'counter', '’', 'intrusive', 'look']","['set', 'day', 'still', 'add', 'smart', 'home', 'device', 'speaker', 'great', 'play', 'music', 'like', 'size', 'station', 'kitchen', 'counter', '’', 'intrusive', 'look']"
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,Positive,i love it. it plays my sleep sounds immediately when i ask,i love it. it plays my sleep sounds immediately when i ask,i love it it plays my sleep sounds immediately when i ask,"['i', 'love', 'it', 'it', 'plays', 'my', 'sleep', 'sounds', 'immediately', 'when', 'i', 'ask']","['love', 'plays', 'sleep', 'sounds', 'immediately', 'ask']","['love', 'play', 'sleep', 'sound', 'immediately', 'ask']"
3,30-Jul-18,Sandstone Fabric ,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",Positive,"i got a second unit for the bedroom, i was expecting the sounds to be improved but i didnt really see a difference at all.  overall, not a big improvement over the 1st generation.","i got a second unit for the bedroom, i was expecting the sounds to be improved but i didnt really see a difference at all.  overall, not a big improvement over the st generation.",i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all  overall not a big improvement over the st generation,"['i', 'got', 'a', 'second', 'unit', 'for', 'the', 'bedroom', 'i', 'was', 'expecting', 'the', 'sounds', 'to', 'be', 'improved', 'but', 'i', 'didnt', 'really', 'see', 'a', 'difference', 'at', 'all', 'overall', 'not', 'a', 'big', 'improvement', 'over', 'the', 'st', 'generation']","['got', 'second', 'unit', 'bedroom', 'expecting', 'sounds', 'improved', 'didnt', 'really', 'see', 'difference', 'overall', 'big', 'improvement', 'st', 'generation']","['get', 'second', 'unit', 'bedroom', 'expect', 'sound', 'improve', 'didnt', 'really', 'see', 'difference', 'overall', 'big', 'improvement', 'st', 'generation']"
5,30-Jul-18,Sandstone Fabric ,Amazing product,Positive,amazing product,amazing product,amazing product,"['amazing', 'product']","['amazing', 'product']","['amaze', 'product']"
5,30-Jul-18,Charcoal Fabric ,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",Positive,"i love my echo. it's easy to operate, loads of fun.it is everything as advertised. i use it mainly to play my favorite tunes and test alexa's knowledge.","i love my echo. it's easy to operate, loads of fun.it is everything as advertised. i use it mainly to play my favorite tunes and test alexa's knowledge.",i love my echo its easy to operate loads of funit is everything as advertised i use it mainly to play my favorite tunes and test alexas knowledge,"['i', 'love', 'my', 'echo', 'its', 'easy', 'to', 'operate', 'loads', 'of', 'funit', 'is', 'everything', 'as', 'advertised', 'i', 'use', 'it', 'mainly', 'to', 'play', 'my', 'favorite', 'tunes', 'and', 'test', 'alexas', 'knowledge']","['love', 'echo', 'easy', 'operate', 'loads', 'funit', 'everything', 'advertised', 'use', 'mainly', 'play', 'favorite', 'tunes', 'test', 'alexas', 'knowledge']","['love', 'echo', 'easy', 'operate', 'load', 'funit', 'everything', 'advertised', 'use', 'mainly', 'play', 'favorite', 'tune', 'test', 'alexas', 'knowledge']"
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,Positive,sounds great!! love them!,sounds great!! love them!,sounds great love them,"['sounds', 'great', 'love', 'them']","['sounds', 'great', 'love']","['sound', 'great', 'love']"
4,30-Jul-18,Charcoal Fabric ,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.",Positive,"fun item to play with and get used to using.  sometimes has hard time answering the questions you ask, but i think it will be better.","fun item to play with and get used to using.  sometimes has hard time answering the questions you ask, but i think it will be better.",fun item to play with and get used to using  sometimes has hard time answering the questions you ask but i think it will be better,"['fun', 'item', 'to', 'play', 'with', 'and', 'get', 'used', 'to', 'using', 'sometimes', 'has', 'hard', 'time', 'answering', 'the', 'questions', 'you', 'ask', 'but', 'i', 'think', 'it', 'will', 'be', 'better']","['fun', 'item', 'play', 'get', 'used', 'using', 'sometimes', 'hard', 'time', 'answering', 'questions', 'ask', 'think', 'better']","['fun', 'item', 'play', 'get', 'use', 'use', 'sometimes', 'hard', 'time', 'answer', 'question', 'ask', 'think', 'well']"
5,30-Jul-18,Charcoal Fabric ,Just like the other one,Positive,just like the other one,just like the other one,just like the other one,"['just', 'like', 'the', 'other', 'one']","['like', 'one']","['like', 'one']"
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,Positive,still learning all the capabilities...but so far pretty pretty pretty good,still learning all the capabilities...but so far pretty pretty pretty good,still learning all the capabilitiesbut so far pretty pretty pretty good,"['still', 'learning', 'all', 'the', 'capabilitiesbut', 'so', 'far', 'pretty', 'pretty', 'pretty', 'good']","['still', 'learning', 'capabilitiesbut', 'far', 'pretty', 'pretty', 'pretty', 'good']","['still', 'learn', 'capabilitiesbut', 'far', 'pretty', 'pretty', 'pretty', 'good']"
4,30-Jul-18,Charcoal Fabric ,I like it,Positive,i like it,i like it,i like it,"['i', 'like', 'it']",['like'],['like']
